customer_id,postal_code
0a735dfd3a,36142.0
433f24a6d1,48599.0
05b5dd5ae0,39274.0
ad64e158eb,37550.0
3e8037cf47,12615.0
cfaf74fb3a,45723.0
f65405ffe5,12158.0
da8d18bc89,34668.0
cfcf2f3396,49140.0
c25e321646,38151.0
1493f7a074,35558.0
9444e43e11,39667.0
07b6e4bf90,15433.0
2d71d2fbf3,12227.0
f5495b9279,12314.0
a16d069d29,24312.0
1aa829233f,32355.0
614e8b05c6,39165.0
26dba0cbd6,85475.0
8736f5a2a3,49124.0
1e74aefd29,55693.0
aa5eaa5c66,
fb6ed4f815,42170.0
a91d5793a7,90511.0
e9d6b9e0c5,48394.0
d6b0186060,
9017185233,50250.0
61f23d5415,39620.0
f468636935,79184.0
0259681806,67207.0
2d1b2008e3,18673.0
04b38e4ae9,16430.0
e0d9b35522,51141.0
110a48a950,72884.0
196e547ed4,65313.0
ff696784e1,72360.0
3ec7669cdc,51188.0
ad791ff0a1,27286.0
75715e974b,44509.0
a5146da2cd,22989.0
2537f56720,17569.0
67c01d27d3,40741.0
6f940f6664,61390.0
fad1dd62d0,51410.0
f2e99047a8,58839.0
3e896d1605,79585.0
c769780495,69306.0
5e5cbbece0,49232.0
6de2d7489e,53561.0
c1dc0303da,50466.0
d5e6ed08de,47247.0
7dee98ded5,68848.0
054f194675,
16b02c46af,82204.0
3850fe4c11,13671.0
2df04ff95e,
1b0f49806f,82407.0
b68e562509,31672.0
05be889ad5,44305.0
0736db13bc,83470.0
5879aabf37,38167.0
81262a62aa,15866.0
850ba2a03c,22612.0
c826de16b8,53178.0
a132be7260,
b0bda0f09f,63239.0
2150844cf0,46595.0
541b21dc1e,82384.0
381a125ce5,2859.0
22719898b4,41646.0
d544d2de54,45732.0
107d55cd67,39531.0
1fc2ab4d6f,52595.0
9c3a4dc86b,47498.0
8b48e8e560,73303.0
5b963ea322,34159.0
a7fa0c8880,49913.0
bd927e068d,14540.0
79a8b83157,70802.0
0480a93898,2841.0
ea173115db,12693.0
8fd267d2e9,24431.0
117565724a,
8cabf07b13,
be6f070ce3,83110.0
f2bb31ae59,32802.0
a9a339b91d,63919.0
13e68bbfc4,49866.0
7b9ebec802,61509.0
31639d54ba,86703.0
1c138066d7,49135.0
78ccc3127d,
1531ce68d5,48238.0
2d2f77f587,69504.0
5b0285617f,87011.0
a6f6c82be6,34311.0
9e8b588bd9,84169.0
854a65e1f9,96475.0
282483ef6c,39624.0
a3909a5443,
c62dd9caff,14194.0
2020a383a7,91664.0
53ec92db73,
1728a33312,
c7d4cb2112,32712.0
7dc372c39b,
816a0190e9,15738.0
edd4275bbb,12310.0
a5a40f07fd,47228.0
40f3f2c010,71431.0
fcc13bfdf1,65336.0
735d9d5002,21320.0
e2d3fc8709,38154.0
2cee7c331d,53723.0
c5b8446777,19290.0
5c78b5966f,
bcc34e163a,41099.0
54c0ed21d5,97938.0
ad68114267,27344.0
1699f45e6d,78338.0
1da1f7e1bc,18595.0
328045f5e4,57557.0
1a24c779d5,19119.0
1b0f7ff523,67397.0
0818e95c74,95565.0
54152e053c,97419.0
519501187e,
ee6e9da776,25538.0
b956a6b221,92597.0
fc4ae34864,55188.0
e6661f2cd5,59596.0
338ec48528,90573.0
6a23225cce,14224.0
c8dd3cf557,35071.0
99681477a8,41136.0
66def08070,82409.0
66d7d687a3,24393.0
3132882f4a,86655.0
9d39be2618,
182b09ed60,15055.0
7f2dfa9e8d,9431.0
6f3d296d14,11056.0
1cf0deb948,
38067fe73b,1985.0
089e9b7ab4,72889.0
37f933606c,27873.0
e197fc664d,97400.0
651c4f8f7d,90489.0
687cbc6508,72581.0
13b8425795,15892.0
7c9f807800,90494.0
b4479bce34,22620.0
7b7fb46f95,15782.0
51b9bf38e0,
d737d2b2df,29545.0
cc4937f598,
de09bd11cc,26232.0
3754d1ca24,81417.0
8392a360a4,15876.0
f03edd119c,15782.0
db7be237a6,15924.0
